5.29809;3.33063
4.38131;3.33006
5.33603;2.41512
5.37557;3.21096
5.17075;3.77354
5.19784;2.75049
5.20472;2.67714
5.05869;2.57796
4.93427;2.97641
5.1092;3.71965
5.60077;2.66789
5.0276;3.00955
4.86581;3.02817
5.01867;2.71652
5.38556;3.42661
-1.40845;6.94899
-2.45884;7.64954
-3.09808;7.10289
-1.6747;7.00165
-2.47183;6.56895
-2.26767;6.77578
-2.05894;6.73795
-2.58388;6.83177
-1.44888;6.5947
-2.58109;6.83877
-0.761067;8.27406
-0.376177;7.50379
-1.9251;6.31214
-1.80776;6.70068
-1.01355;8.12128
-1.84354;7.12098
-2.69671;8.17867
-1.88826;6.8413
-2.88522;6.45825
-2.13153;7.62754
-2.57556;6.70195
-1.5692;6.42367
-2.00769;7.1283
-1.41747;5.91542
-2.45193;7.71544
-2.43308;7.49873
-2.72073;6.78494
-3.24079;6.9491
-1.51055;7.45923
-1.33926;7.02926
-0.259311;0.0665638
0.518523;-0.511819
-0.0365693;0.00237148
-0.294364;-0.333636
0.488043;0.0252521
-0.20108;-0.451598
0.336932;-0.150712
-0.161837;-0.139871
0.201435;0.366687
-0.108766;0.285595
6.81338;3.58943
6.75337;4.82249
7.23625;4.52149
5.19992;2.65897
6.92976;4.01771
8.73781;4.36701
7.12696;4.46723
6.52852;3.99222
8.51214;2.15363
6.97849;2.23251
7.20491;3.89368
6.19738;3.65136
7.5023;2.15116
6.37143;4.25152
7.36699;3.52394
6.3862;4.38633
7.64007;3.63424
7.45738;5.11901
4.59567;3.4418
6.91339;3.3536
7.28943;5.3346
7.26775;5.07101
6.24841;4.4699
6.96692;4.41415
4.79703;4.01949
7.94994;3.81263
6.23507;4.62327
8.34334;4.74985
7.18584;3.63451
6.91216;5.87071
